lat_zone,lon_zone,demand,demand_level,alert,decision
40.55,-74.3,1,LOW,NORMAL,Reduce Drivers
40.59,-73.93,1,LOW,NORMAL,Reduce Drivers
40.59,-73.75,1,LOW,NORMAL,Reduce Drivers
40.61,-74.0,1,LOW,NORMAL,Reduce Drivers
40.62,-74.02,1,LOW,NORMAL,Reduce Drivers
40.63,-74.01,1,LOW,NORMAL,Reduce Drivers
40.63,-73.93,1,LOW,NORMAL,Reduce Drivers
40.63,-73.78,1,LOW,NORMAL,Reduce Drivers
40.64,-73.98,1,LOW,NORMAL,Reduce Drivers
40.64,-73.79,67,MEDIUM,NORMAL,Maintain
40.64,-73.78,87,MEDIUM,NORMAL,Maintain
40.65,-74.0,1,LOW,NORMAL,Reduce Drivers
40.65,-73.97,1,LOW,NORMAL,Reduce Drivers
40.65,-73.81,3,LOW,NORMAL,Reduce Drivers
40.65,-73.8,4,LOW,NORMAL,Reduce Drivers
40.65,-73.79,53,MEDIUM,NORMAL,Maintain
40.65,-73.78,81,MEDIUM,NORMAL,Maintain
40.66,-73.99,1,LOW,NORMAL,Reduce Drivers
40.66,-73.96,2,LOW,NORMAL,Reduce Drivers
40.66,-73.94,1,LOW,NORMAL,Reduce Drivers
40.66,-73.8,1,LOW,NORMAL,Reduce Drivers
40.66,-73.79,4,LOW,NORMAL,Reduce Drivers
40.67,-74.0,1,LOW,NORMAL,Reduce Drivers
40.67,-73.99,9,LOW,NORMAL,Reduce Drivers
40.67,-73.98,2,LOW,NORMAL,Reduce Drivers
40.67,-73.96,4,LOW,NORMAL,Reduce Drivers
40.67,-73.8,1,LOW,NORMAL,Reduce Drivers
40.68,-74.01,1,LOW,NORMAL,Reduce Drivers
40.68,-74.0,14,LOW,NORMAL,Reduce Drivers
40.68,-73.99,6,LOW,NORMAL,Reduce Drivers
40.68,-73.98,33,MEDIUM,NORMAL,Maintain
40.68,-73.97,11,LOW,NORMAL,Reduce Drivers
40.68,-73.96,2,LOW,NORMAL,Reduce Drivers
40.68,-73.95,3,LOW,NORMAL,Reduce Drivers
40.68,-73.94,1,LOW,NORMAL,Reduce Drivers
40.68,-73.93,1,LOW,NORMAL,Reduce Drivers
40.68,-73.86,1,LOW,NORMAL,Reduce Drivers
40.69,-74.0,5,LOW,NORMAL,Reduce Drivers
40.69,-73.99,22,MEDIUM,NORMAL,Maintain
40.69,-73.98,19,LOW,NORMAL,Reduce Drivers
40.69,-73.97,7,LOW,NORMAL,Reduce Drivers
40.69,-73.96,4,LOW,NORMAL,Reduce Drivers
40.69,-73.95,1,LOW,NORMAL,Reduce Drivers
40.69,-73.94,1,LOW,NORMAL,Reduce Drivers
40.69,-73.93,1,LOW,NORMAL,Reduce Drivers
40.69,-73.92,1,LOW,NORMAL,Reduce Drivers
40.69,-73.91,1,LOW,NORMAL,Reduce Drivers
40.69,-73.83,1,LOW,NORMAL,Reduce Drivers
40.69,-73.81,2,LOW,NORMAL,Reduce Drivers
40.7,-74.02,3,LOW,NORMAL,Reduce Drivers
40.7,-74.01,66,MEDIUM,NORMAL,Maintain
40.7,-74.0,1,LOW,NORMAL,Reduce Drivers
40.7,-73.99,15,LOW,NORMAL,Reduce Drivers
40.7,-73.98,4,LOW,NORMAL,Reduce Drivers
40.7,-73.95,1,LOW,NORMAL,Reduce Drivers
40.7,-73.94,5,LOW,NORMAL,Reduce Drivers
40.7,-73.93,5,LOW,NORMAL,Reduce Drivers
40.7,-73.92,2,LOW,NORMAL,Reduce Drivers
40.7,-73.91,1,LOW,NORMAL,Reduce Drivers
40.7,-73.83,1,LOW,NORMAL,Reduce Drivers
40.7,-73.81,1,LOW,NORMAL,Reduce Drivers
40.71,-74.02,78,MEDIUM,NORMAL,Maintain
40.71,-74.01,272,HIGH,⚠️ SURGE,Increase Drivers
40.71,-74.0,67,MEDIUM,NORMAL,Maintain
40.71,-73.99,14,LOW,NORMAL,Reduce Drivers
40.71,-73.98,5,LOW,NORMAL,Reduce Drivers
40.71,-73.97,3,LOW,NORMAL,Reduce Drivers
40.71,-73.96,38,MEDIUM,NORMAL,Maintain
40.71,-73.95,14,LOW,NORMAL,Reduce Drivers
40.71,-73.94,7,LOW,NORMAL,Reduce Drivers
40.71,-73.93,3,LOW,NORMAL,Reduce Drivers
40.71,-73.92,1,LOW,NORMAL,Reduce Drivers
40.71,-73.82,1,LOW,NORMAL,Reduce Drivers
40.72,-74.02,24,MEDIUM,NORMAL,Maintain
40.72,-74.01,236,HIGH,⚠️ SURGE,Increase Drivers
40.72,-74.0,339,HIGH,⚠️ SURGE,Increase Drivers
40.72,-73.99,374,HIGH,⚠️ SURGE,Increase Drivers
40.72,-73.98,78,MEDIUM,NORMAL,Maintain
40.72,-73.96,30,MEDIUM,NORMAL,Maintain
40.72,-73.95,15,LOW,NORMAL,Reduce Drivers
40.72,-73.94,2,LOW,NORMAL,Reduce Drivers
40.72,-73.9,1,LOW,NORMAL,Reduce Drivers
40.72,-73.84,1,LOW,NORMAL,Reduce Drivers
40.72,-73.83,1,LOW,NORMAL,Reduce Drivers
40.73,-74.01,171,HIGH,⚠️ SURGE,Increase Drivers
40.73,-74.0,538,HIGH,⚠️ SURGE,Increase Drivers
40.73,-73.99,580,HIGH,⚠️ SURGE,Increase Drivers
40.73,-73.98,278,HIGH,⚠️ SURGE,Increase Drivers
40.73,-73.97,9,LOW,NORMAL,Reduce Drivers
40.73,-73.96,1,LOW,NORMAL,Reduce Drivers
40.73,-73.95,3,LOW,NORMAL,Reduce Drivers
40.73,-73.91,1,LOW,NORMAL,Reduce Drivers
40.73,-73.86,2,LOW,NORMAL,Reduce Drivers
40.73,-73.84,1,LOW,NORMAL,Reduce Drivers
40.73,-73.83,1,LOW,NORMAL,Reduce Drivers
40.74,-74.04,2,LOW,NORMAL,Reduce Drivers
40.74,-74.01,201,HIGH,⚠️ SURGE,Increase Drivers
40.74,-74.0,538,HIGH,⚠️ SURGE,Increase Drivers
40.74,-73.99,709,HIGH,⚠️ SURGE,Increase Drivers
40.74,-73.98,501,HIGH,⚠️ SURGE,Increase Drivers
40.74,-73.97,67,MEDIUM,NORMAL,Maintain
40.74,-73.96,2,LOW,NORMAL,Reduce Drivers
40.74,-73.95,9,LOW,NORMAL,Reduce Drivers
40.74,-73.94,2,LOW,NORMAL,Reduce Drivers
40.74,-73.93,9,LOW,NORMAL,Reduce Drivers
40.74,-73.92,17,LOW,NORMAL,Reduce Drivers
40.74,-73.9,3,LOW,NORMAL,Reduce Drivers
40.74,-73.89,1,LOW,NORMAL,Reduce Drivers
40.74,-73.88,1,LOW,NORMAL,Reduce Drivers
40.75,-74.01,54,MEDIUM,NORMAL,Maintain
